Total_Passengers,TIME
37,0
23,1
23,2
23,3
23,4
23,5
37,6
37,7
25,8
25,9
25,10
25,11
25,12
39,13
42,14
30,15
30,16
30,17
42,18
42,19
42,20
29,21
29,22
43,23
43,24
43,25
43,26
43,27
29,28
26,29
26,30
37,31
37,32
25,33
25,34
25,35
25,36
25,37
23,38
23,39
23,40
23,41
23,42
23,43
23,44
23,45
13,46
13,47
26,48
26,49
26,50
26,51
26,52
14,53
26,54
26,55
26,56
38,57
38,58
52,59
52,60
52,61
52,62
38,63
38,64
49,65
62,66
62,67
62,68
50,69
50,70
50,71
38,72
38,73
24,74
24,75
24,76
38,77
52,78
52,79
41,80
28,81
28,82
40,83
40,84
40,85
40,86
40,87
40,88
40,89
40,90
40,91
26,92
13,93
13,94
13,95
26,96
26,97
14,98
14,99
14,100
14,101
14,102
14,103
14,104
14,105
14,106
14,107
14,108
14,109
14,110
0,111
0,112
0,113
0,114
0,115
0,116
0,117
0,118
0,119
0,120
12,121
12,122
12,123
12,124
12,125
12,126
12,127
12,128
25,129
25,130
26,131
26,132
25,133
26,134
25,135
14,136
14,137
14,138
14,139
26,140
25,141
26,142
25,143
12,144
12,145
12,146
12,147
12,148
12,149
25,150
26,151
26,152
25,153
25,154
14,155
28,156
28,157
28,158
28,159
28,160
28,161
28,162
28,163
28,164
14,165
25,166
26,167
26,168
25,169
25,170
12,171
12,172
12,173
12,174
12,175
12,176
12,177
12,178
12,179
12,180
0,181
0,182
0,183
0,184
0,185
0,186
0,187
0,188
0,189
13,190
13,191
23,192
23,193
23,194
23,195
23,196
23,197
23,198
23,199
23,200
23,201
23,202
23,203
23,204
10,205
10,206
0,207
0,208
0,209
0,210
0,211
0,212
0,213
0,214
0,215
0,216
0,217
0,218
0,219
0,220
0,221
0,222
0,223
0,224
0,225
0,226
0,227
0,228
0,229
0,230
0,231
0,232
0,233
0,234
0,235
0,236
0,237
0,238
0,239
0,240
0,241
0,242
0,243
0,244
0,245
0,246
0,247
0,248
0,249
0,250
0,251
0,252
0,253
0,254
0,255
0,256
0,257
0,258
0,259
0,260
0,261
0,262
0,263
0,264
0,265
0,266
0,267
0,268
0,269
0,270
0,271
0,272
0,273
0,274
0,275
0,276
0,277
0,278
0,279
0,280
0,281
0,282
0,283
0,284
0,285
0,286
0,287
0,288
0,289
0,290
0,291
0,292
0,293
0,294
14,295
14,296
14,297
14,298
14,299
14,300
14,301
14,302
14,303
14,304
14,305
14,306
14,307
14,308
14,309
0,310
0,311
0,312
0,313
0,314
0,315
0,316
0,317
0,318
0,319
0,320
0,321
0,322
0,323
0,324
0,325
0,326
0,327
0,328
0,329
0,330
0,331
0,332
0,333
0,334
0,335
0,336
0,337
0,338
0,339
0,340
0,341
0,342
0,343
0,344
0,345
0,346
0,347
0,348
0,349
0,350
0,351
0,352
0,353
0,354
0,355
0,356
0,357
0,358
0,359
0,360
0,361
0,362
0,363
0,364
0,365
0,366
0,367
0,368
0,369
0,370
0,371
0,372
0,373
0,374
0,375
0,376
0,377
0,378
0,379
0,380
0,381
14,382
14,383
14,384
14,385
14,386
14,387
14,388
14,389
14,390
14,391
14,392
14,393
14,394
14,395
14,396
0,397
0,398
0,399
0,400
0,401
0,402
0,403
0,404
0,405
0,406
0,407
14,408
14,409
14,410
14,411
14,412
14,413
14,414
14,415
14,416
14,417
14,418
14,419
14,420
14,421
14,422
0,423
0,424
0,425
0,426
0,427
0,428
0,429
0,430
0,431
0,432
0,433
0,434
13,435
13,436
25,437
39,438
52,439
52,440
52,441
52,442
52,443
52,444
52,445
52,446
52,447
52,448
52,449
39,450
39,451
26,452
13,453
0,454
0,455
0,456
0,457
0,458
0,459
0,460
0,461
0,462
0,463
0,464
0,465
0,466
0,467
0,468
0,469
0,470
0,471
0,472
0,473
0,474
0,475
0,476
0,477
0,478
0,479
0,480
0,481
0,482
0,483
0,484
0,485
0,486
0,487
0,488
0,489
0,490
0,491
0,492
0,493
13,494
13,495
13,496
13,497
13,498
25,499
38,500
38,501
38,502
38,503
50,504
50,505
50,506
50,507
50,508
38,509
38,510
38,511
38,512
38,513
25,514
13,515
13,516
13,517
13,518
4,519
17,520
30,521
30,522
30,523
30,524
30,525
30,526
30,527
30,528
30,529
30,530
30,531
30,532
30,533
25,534
25,535
13,536
13,537
13,538
13,539
24,540
24,541
37,542
37,543
37,544
49,545
49,546
49,547
49,548
49,549
50,550
50,551
50,552
50,553
50,554
38,555
38,556
25,557
39,558
39,559
28,560
28,561
28,562
28,563
28,564
14,565
14,566
14,567
14,568
14,569
14,570
33,571
33,572
19,573
19,574
19,575
19,576
19,577
19,578
19,579
19,580
19,581
33,582
33,583
33,584
33,585
16,586
17,587
16,588
16,589
16,590
16,591
16,592
17,593
29,594
29,595
29,596
15,597
28,598
28,599
28,600
25,601
25,602
25,603
25,604
25,605
25,606
25,607
25,608
13,609
13,610
13,611
13,612
0,613
0,614
0,615
13,616
13,617
13,618
24,619
24,620
38,621
38,622
38,623
51,624
51,625
51,626
51,627
51,628
51,629
51,630
39,631
39,632
41,633
30,634
30,635
16,636
19,637
19,638
5,639
5,640
5,641
5,642
5,643
5,644
5,645
22,646
22,647
20,648
20,649
20,650
20,651
30,652
30,653
58,654
58,655
58,656
58,657
58,658
58,659
61,660
44,661
44,662
44,663
44,664
44,665
44,666
45,667
45,668
32,669
32,670
32,671
32,672
31,673
32,674
29,675
29,676
29,677
29,678
29,679
29,680
29,681
14,682
14,683
0,684
14,685
14,686
14,687
28,688
28,689
39,690
39,691
39,692
39,693
39,694
39,695
39,696
39,697
39,698
39,699
37,700
37,701
37,702
23,703
23,704
25,705
39,706
39,707
39,708
39,709
54,710
54,711
54,712
54,713
54,714
42,715
42,716
42,717
42,718
42,719
29,720
14,721
14,722
29,723
29,724
14,725
26,726
39,727
39,728
39,729
54,730
54,731
54,732
54,733
54,734
54,735
54,736
54,737
39,738
39,739
39,740
28,741
14,742
14,743
14,744
13,745
13,746
13,747
13,748
13,749
13,750
13,751
13,752
13,753
26,754
29,755
29,756
29,757
29,758
29,759
16,760
16,761
16,762
16,763
16,764
16,765
16,766
16,767
16,768
3,769
13,770
24,771
24,772
24,773
24,774
24,775
24,776
24,777
24,778
24,779
24,780
24,781
35,782
35,783
35,784
34,785
23,786
23,787
23,788
23,789
23,790
37,791
50,792
53,793
52,794
52,795
53,796
41,797
46,798
46,799
34,800
34,801
34,802
47,803
47,804
47,805
34,806
21,807
18,808
18,809
18,810
18,811
18,812
13,813
13,814
28,815
28,816
28,817
29,818
29,819
29,820
29,821
29,822
29,823
29,824
29,825
29,826
29,827
29,828
29,829
14,830
14,831
14,832
0,833
0,834
0,835
0,836
0,837
0,838
0,839
14,840
14,841
14,842
14,843
29,844
29,845
29,846
29,847
29,848
29,849
29,850
43,851
43,852
43,853
43,854
29,855
29,856
29,857
29,858
14,859
14,860
14,861
14,862
14,863
14,864
29,865
14,866
14,867
14,868
14,869
14,870
14,871
14,872
14,873
14,874
14,875
14,876
14,877
14,878
28,879
13,880
13,881
13,882
13,883
28,884
28,885
28,886
28,887
28,888
28,889
30,890
30,891
30,892
30,893
17,894
17,895
17,896
17,897
17,898
5,899
5,900
5,901
5,902
5,903
5,904
3,905
3,906
3,907
13,908
13,909
28,910
28,911
28,912
28,913
25,914
25,915
25,916
37,917
37,918
37,919
37,920
37,921
37,922
26,923
26,924
12,925
12,926
25,927
25,928
25,929
25,930
25,931
13,932
13,933
13,934
13,935
13,936
13,937
13,938
13,939
13,940
13,941
31,942
31,943
31,944
31,945
31,946
31,947
31,948
31,949
31,950
31,951
31,952
45,953
45,954
45,955
45,956
14,957
14,958
29,959
29,960
29,961
29,962
29,963
29,964
29,965
42,966
42,967
42,968
42,969
42,970
42,971
42,972
42,973
28,974
28,975
28,976
42,977
45,978
45,979
58,980
45,981
45,982
30,983
42,984
42,985
42,986
45,987
45,988
47,989
47,990
61,991
46,992
57,993
57,994
44,995
44,996
43,997
44,998
32,999
34,1000
34,1001
32,1002
32,1003
29,1004
29,1005
39,1006
39,1007
26,1008
26,1009
26,1010
26,1011
40,1012
40,1013
40,1014
38,1015
38,1016
50,1017
49,1018
49,1019
49,1020
26,1021
26,1022
39,1023
39,1024
39,1025
39,1026
25,1027
25,1028
39,1029
39,1030
39,1031
28,1032
28,1033
28,1034
28,1035
28,1036
30,1037
17,1038
17,1039
17,1040
17,1041
17,1042
17,1043
3,1044
3,1045
3,1046
16,1047
30,1048
30,1049
30,1050
45,1051
42,1052
42,1053
42,1054
42,1055
42,1056
42,1057
42,1058
55,1059
55,1060
55,1061
42,1062
28,1063
28,1064
28,1065
13,1066
26,1067
26,1068
26,1069
26,1070
26,1071
26,1072
40,1073
26,1074
26,1075
26,1076
26,1077
26,1078
26,1079
26,1080
26,1081
13,1082
13,1083
13,1084
13,1085
26,1086
29,1087
16,1088
16,1089
16,1090
16,1091
16,1092
16,1093
16,1094
16,1095
16,1096
16,1097
16,1098
29,1099
29,1100
19,1101
16,1102
16,1103
16,1104
16,1105
16,1106
16,1107
16,1108
16,1109
16,1110
16,1111
16,1112
16,1113
3,1114
7,1115
16,1116
17,1117
17,1118
16,1119
31,1120
31,1121
31,1122
31,1123
31,1124
31,1125
31,1126
31,1127
43,1128
43,1129
38,1130
26,1131
26,1132
40,1133
40,1134
26,1135
26,1136
26,1137
26,1138
26,1139
26,1140
26,1141
26,1142
14,1143
14,1144
14,1145
14,1146
29,1147
29,1148
29,1149
29,1150
29,1151
29,1152
29,1153
29,1154
29,1155
29,1156
29,1157
29,1158
29,1159
29,1160
29,1161
28,1162
13,1163
13,1164
13,1165
13,1166
13,1167
13,1168
13,1169
13,1170
13,1171
13,1172
41,1173
58,1174
58,1175
58,1176
56,1177
56,1178
56,1179
56,1180
56,1181
56,1182
56,1183
56,1184
70,1185
70,1186
70,1187
42,1188
25,1189
37,1190
37,1191
25,1192
25,1193
48,1194
48,1195
48,1196
48,1197
48,1198
65,1199
52,1200
52,1201
52,1202
52,1203
52,1204
41,1205
40,1206
40,1207
40,1208
17,1209
17,1210
17,1211
17,1212
17,1213
0,1214
0,1215
0,1216
0,1217
3,1218
3,1219
14,1220
26,1221
26,1222
40,1223
55,1224
55,1225
55,1226
55,1227
55,1228
55,1229
55,1230
55,1231
69,1232
67,1233
67,1234
55,1235
43,1236
43,1237
29,1238
14,1239
14,1240
14,1241
14,1242
14,1243
14,1244
29,1245
29,1246
14,1247
29,1248
29,1249
29,1250
29,1251
29,1252
29,1253
29,1254
29,1255
42,1256
42,1257
54,1258
54,1259
39,1260
39,1261
42,1262
28,1263
28,1264
28,1265
28,1266
28,1267
42,1268
54,1269
54,1270
40,1271
40,1272
29,1273
29,1274
29,1275
29,1276
26,1277
26,1278
29,1279
29,1280
29,1281
29,1282
29,1283
17,1284
29,1285
29,1286
29,1287
29,1288
29,1289
29,1290
40,1291
40,1292
54,1293
51,1294
51,1295
51,1296
51,1297
37,1298
37,1299
25,1300
25,1301
25,1302
25,1303
25,1304
25,1305
13,1306
13,1307
14,1308
14,1309
14,1310
14,1311
14,1312
14,1313
14,1314
14,1315
14,1316
14,1317
14,1318
14,1319
14,1320
14,1321
14,1322
0,1323
0,1324
0,1325
0,1326
0,1327
0,1328
0,1329
0,1330
0,1331
0,1332
0,1333
0,1334
0,1335
0,1336
0,1337
0,1338
0,1339
17,1340
29,1341
29,1342
29,1343
29,1344
29,1345
29,1346
29,1347
29,1348
42,1349
42,1350
42,1351
42,1352
42,1353
56,1354
52,1355
52,1356
52,1357
52,1358
53,1359
79,1360
79,1361
79,1362
79,1363
66,1364
66,1365
66,1366
79,1367
79,1368
64,1369
51,1370
40,1371
40,1372
54,1373
54,1374
39,1375
39,1376
51,1377
51,1378
51,1379
51,1380
63,1381
60,1382
60,1383
60,1384
60,1385
60,1386
60,1387
46,1388
46,1389
34,1390
34,1391
22,1392
47,1393
47,1394
47,1395
35,1396
25,1397
25,1398
25,1399
25,1400
25,1401
25,1402
28,1403
28,1404
30,1405
30,1406
33,1407
20,1408
20,1409
20,1410
22,1411
22,1412
34,1413
34,1414
34,1415
34,1416
49,1417
60,1418
60,1419
58,1420
58,1421
68,1422
56,1423
56,1424
56,1425
67,1426
67,1427
55,1428
55,1429
55,1430
55,1431
41,1432
38,1433
38,1434
38,1435
38,1436
25,1437
25,1438
25,1439
